name,created_at,forks,topics,categories
SmartThingsPublic,2015-08-04T22:48:02Z,90302,"['internet-of-things', 'oauth2', 'open-source', 'smartapp', 'smartthings', 'upnp', 'zigbee', 'zwave']",['Internet-of-Things']
core,2013-09-17T07:29:48Z,27758,"['asyncio', 'hacktoberfest', 'home-automation', 'internet-of-things', 'iot', 'mqtt', 'python', 'raspberry-pi']",['Internet-of-Things']
hackathon-starter,2013-11-13T17:24:12Z,8156,"['boilerplate', 'hackathon', 'hacktoberfest', 'nodejs', 'oauth2', 'starter-kit']",['Internet-of-Things']
paascloud-master,2018-03-17T05:40:43Z,4320,"['oauth2', 'rocketmq', 'spring-cloud', 'springcloud', 'vuejs2']",['Internet-of-Things']
IdentityServer4,2015-11-22T08:21:58Z,3968,"['aspnet-core', 'dotnet', 'identity', 'identityserver4', 'oauth2', 'openid-connect', 'security']",['Internet-of-Things']
cas,2011-09-09T01:36:42Z,3876,"['authentication', 'authorization', 'aws', 'duosecurity', 'identity-provider', 'java', 'ldap-authentication', 'mfa', 'oauth2', 'open-source', 'openidconnect', 'saml2', 'spring-boot', 'spring-cloud', 'spring-framework', 'spring-webflow', 'sso', 'sso-authentication', 'u2f-server', 'websso']",['Internet-of-Things']
SpringCloud,2017-07-23T14:28:08Z,3855,"['elasticsearch', 'eureka', 'feign-client', 'hystrix', 'jetcache', 'moss', 'nacos', 'oauth2', 'sentinel', 'skywalking', 'spring-cloud-gateway', 'spring-security', 'springboot', 'springboot-admin', 'springboot-springcloud', 'springcloud', 'zipkin', 'zipkin-sleuth']",['Internet-of-Things']
django-allauth,2010-10-10T20:10:52Z,2919,"['accounts', 'authentication', 'django', 'login', 'oauth2', 'openid-connect', 'python', 'registration', 'saml', 'signup', 'social-login', 'two-factor-authentication']",['Internet-of-Things']
next-auth,2018-01-27T12:28:16Z,2837,"['auth', 'authentication', 'csrf', 'jwt', 'nextauth', 'nextjs', 'nodejs', 'nuxt', 'nuxt-auth', 'oauth', 'oauth2', 'oidc', 'react', 'remix-auth', 'solid-auth', 'solidjs', 'sveltekit', 'web']",['Internet-of-Things']
Surviving-with-android,2012-10-06T20:24:28Z,2751,"['android', 'android-things', 'internet-of-things', 'iot', 'java', 'open-source', 'tutorial']","['Internet-of-Things', 'Beginner']"
JustAuth,2019-01-31T09:42:20Z,2718,"['googlelogin', 'justauth', 'oauth2', 'qqlogin', 'weixinlogin']",['Internet-of-Things']
API-Security-Checklist,2017-07-08T20:01:38Z,2540,"['api', 'jwt', 'oauth2', 'security']",['Internet-of-Things']
RIOT,2012-12-29T20:38:40Z,1946,"['c', 'hacktoberfest', 'internet', 'internet-of-things', 'internetofthings', 'iot', 'microcontrollers', 'os', 'riot-os', 'riotos', 'rtos']",['Internet-of-Things']
connectedhomeip,2020-03-03T17:05:10Z,1826,"['build-with-matter', 'chip', 'connected-devices', 'connected-home', 'connectedhomeip', 'connectivity-standards-alliance', 'csa-iot', 'internet-of-things', 'iot', 'matter', 'standard']",['Internet-of-Things']
scribejava,2010-09-05T19:11:40Z,1670,"['java', 'oauth', 'oauth2', 'scribe', 'scribe-java', 'scribejava', 'scribejava-httpclient']",['Internet-of-Things']
microservices-platform,2019-03-07T07:13:37Z,1659,"['elk', 'gpe', 'java', 'jwt', 'microservices', 'nacos', 'oauth2', 'platform', 'rbac', 'sentiel', 'spring-boot', 'spring-cloud', 'spring-cloud-alibaba', 'zuul']",['Internet-of-Things']
cpprestsdk,2014-08-21T20:57:45Z,1625,"['async', 'asynchronous-tasks', 'cloud', 'cpp', 'cpp-library', 'cpp11', 'http', 'oauth', 'oauth2', 'sdk', 'tasks', 'websockets']",['Internet-of-Things']
hydra,2015-05-22T12:42:08Z,1451,"['authorization', 'cloud', 'docker', 'federation', 'hacktoberfest', 'hydra', 'identity', 'oauth', 'oauth-provider', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid', 'openid-connect', 'openid-connect-provider', 'openid-provider', 'security', 'server', 'sso']",['Internet-of-Things']
blynk-library,2015-03-24T10:31:07Z,1377,"['arduino', 'bluetooth', 'bluetooth-low-energy', 'embedded', 'esp32', 'esp8266', 'espressif', 'ethernet-shield', 'gsm', 'hardware', 'internet-of-things', 'iot', 'iot-platform', 'mbed', 'ota', 'particle-photon', 'raspberry-pi', 'wifi']",['Internet-of-Things']
xboot,2018-04-23T14:44:18Z,1299,"['activiti', 'admin', 'dark-mode', 'dashboard', 'elasticsearch', 'iview', 'jpa', 'jwt', 'mybatis-plus', 'mysql', 'oauth2', 'quartz', 'redis', 'spring-boot', 'spring-security', 'uniapp', 'vue', 'wechat-app', 'xboot']",['Internet-of-Things']
passport,2011-10-08T22:38:32Z,1223,"['express', 'nodejs', 'oauth', 'oauth2', 'openid', 'openid-connect', 'passport', 'saml']",['Internet-of-Things']
smart-sso,2016-07-11T09:06:38Z,1177,"['java', 'oauth2', 'springboot', 'sso']",['Internet-of-Things']
oauth2-server,2012-06-04T20:00:52Z,1110,"['oauth', 'oauth2', 'oauth2-server', 'php']",['Internet-of-Things']
doorkeeper,2011-11-18T13:02:01Z,1052,"['authentication', 'authorization', 'doorkeeper', 'grape', 'identity', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'ruby-on-rails']",['Internet-of-Things']
gobot,2013-09-21T14:09:19Z,1027,"['arduino', 'beaglebone', 'beaglebone-black', 'bluetooth', 'bluetooth-le', 'drone', 'go', 'gpio', 'hardware', 'i2c', 'intel-edison', 'intel-joule', 'internet-of-things', 'iot', 'mqtt', 'raspberry-pi', 'robot', 'robotics', 'sphero', 'uav']",['Internet-of-Things']
